Reading data...Done
(10, 2623, 2772)
(10, 2623)
(10, 374, 2772)
(10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 000, train loss: 1.63, train accuracy: 38.22%, valid loss: 1.95, valid accuracy: 18.45%, test loss: 1.96, test accuracy: 17.11%
Epochs 001, train loss: 1.06, train accuracy: 71.74%, valid loss: 1.24, valid accuracy: 62.07%, test loss: 1.27, test accuracy: 59.89%
Epochs 002, train loss: 0.85, train accuracy: 79.68%, valid loss: 1.10, valid accuracy: 64.63%, test loss: 1.13, test accuracy: 63.80%
Epochs 003, train loss: 0.59, train accuracy: 85.44%, valid loss: 0.66, valid accuracy: 83.94%, test loss: 0.69, test accuracy: 81.87%
Epochs 004, train loss: 0.46, train accuracy: 89.35%, valid loss: 0.55, valid accuracy: 85.35%, test loss: 0.56, test accuracy: 82.97%
Epochs 005, train loss: 0.36, train accuracy: 91.38%, valid loss: 0.41, valid accuracy: 88.99%, test loss: 0.42, test accuracy: 88.05%
Epochs 006, train loss: 0.30, train accuracy: 92.81%, valid loss: 0.37, valid accuracy: 88.93%, test loss: 0.39, test accuracy: 87.86%
Epochs 007, train loss: 0.25, train accuracy: 94.21%, valid loss: 0.28, valid accuracy: 92.44%, test loss: 0.29, test accuracy: 91.28%
Epochs 008, train loss: 0.22, train accuracy: 94.73%, valid loss: 0.32, valid accuracy: 90.79%, test loss: 0.35, test accuracy: 90.61%
Epochs 009, train loss: 0.19, train accuracy: 95.26%, valid loss: 0.20, valid accuracy: 94.31%, test loss: 0.20, test accuracy: 94.57%
Epochs 010, train loss: 0.16, train accuracy: 96.16%, valid loss: 0.19, valid accuracy: 94.35%, test loss: 0.20, test accuracy: 93.80%
Epochs 011, train loss: 0.15, train accuracy: 96.32%, valid loss: 0.18, valid accuracy: 95.18%, test loss: 0.18, test accuracy: 95.11%
Epochs 012, train loss: 0.14, train accuracy: 96.62%, valid loss: 0.16, valid accuracy: 95.43%, test loss: 0.18, test accuracy: 94.63%
Epochs 013, train loss: 0.12, train accuracy: 96.96%, valid loss: 0.12, valid accuracy: 96.68%, test loss: 0.12, test accuracy: 96.36%
Epochs 014, train loss: 0.12, train accuracy: 96.82%, valid loss: 0.21, valid accuracy: 93.26%, test loss: 0.22, test accuracy: 92.65%
Epochs 015, train loss: 0.09, train accuracy: 97.76%, valid loss: 0.13, valid accuracy: 96.25%, test loss: 0.12, test accuracy: 96.26%
Epochs 016, train loss: 0.11, train accuracy: 97.29%, valid loss: 0.14, valid accuracy: 95.61%, test loss: 0.14, test accuracy: 96.04%
Epochs 017, train loss: 0.08, train accuracy: 97.81%, valid loss: 0.10, valid accuracy: 97.45%, test loss: 0.10, test accuracy: 97.01%
Epochs 018, train loss: 0.11, train accuracy: 97.20%, valid loss: 0.11, valid accuracy: 97.28%, test loss: 0.11, test accuracy: 96.28%
Epochs 019, train loss: 0.07, train accuracy: 98.39%, valid loss: 0.17, valid accuracy: 94.51%, test loss: 0.21, test accuracy: 93.18%
Epochs 020, train loss: 0.08, train accuracy: 97.99%, valid loss: 0.07, valid accuracy: 97.84%, test loss: 0.08, test accuracy: 97.03%
Epochs 021, train loss: 0.08, train accuracy: 97.78%, valid loss: 0.09, valid accuracy: 96.58%, test loss: 0.11, test accuracy: 95.75%
Epochs 022, train loss: 0.08, train accuracy: 97.71%, valid loss: 0.15, valid accuracy: 94.78%, test loss: 0.17, test accuracy: 94.92%
Epochs 023, train loss: 0.07, train accuracy: 98.19%, valid loss: 0.12, valid accuracy: 96.80%, test loss: 0.10, test accuracy: 97.09%
Epochs 024, train loss: 0.06, train accuracy: 98.71%, valid loss: 0.07, valid accuracy: 98.20%, test loss: 0.08, test accuracy: 97.75%
Epochs 025, train loss: 0.06, train accuracy: 98.28%, valid loss: 0.06, valid accuracy: 98.52%, test loss: 0.07, test accuracy: 97.38%
Epochs 026, train loss: 0.06, train accuracy: 98.54%, valid loss: 0.09, valid accuracy: 97.73%, test loss: 0.07, test accuracy: 97.97%
Epochs 027, train loss: 0.05, train accuracy: 98.56%, valid loss: 0.08, valid accuracy: 97.48%, test loss: 0.09, test accuracy: 96.47%
Epochs 028, train loss: 0.06, train accuracy: 98.44%, valid loss: 0.06, valid accuracy: 98.42%, test loss: 0.06, test accuracy: 98.58%
Epochs 029, train loss: 0.05, train accuracy: 98.65%, valid loss: 0.06, valid accuracy: 98.37%, test loss: 0.06, test accuracy: 98.24%
Epochs 030, train loss: 0.04, train accuracy: 99.26%, valid loss: 0.06, valid accuracy: 98.17%, test loss: 0.07, test accuracy: 97.33%
Epochs 031, train loss: 0.06, train accuracy: 98.33%, valid loss: 0.29, valid accuracy: 92.38%, test loss: 0.22, test accuracy: 93.48%
Epochs 032, train loss: 0.05, train accuracy: 98.75%, valid loss: 0.05, valid accuracy: 98.62%, test loss: 0.06, test accuracy: 98.40%
Epochs 033, train loss: 0.04, train accuracy: 99.24%, valid loss: 0.17, valid accuracy: 94.23%, test loss: 0.19, test accuracy: 93.48%
Epochs 034, train loss: 0.04, train accuracy: 99.15%, valid loss: 0.05, valid accuracy: 98.85%, test loss: 0.04, test accuracy: 99.06%
Epochs 035, train loss: 0.04, train accuracy: 98.88%, valid loss: 0.04, valid accuracy: 98.97%, test loss: 0.05, test accuracy: 98.74%
Epochs 036, train loss: 0.04, train accuracy: 98.86%, valid loss: 0.06, valid accuracy: 98.13%, test loss: 0.08, test accuracy: 97.30%
Epochs 037, train loss: 0.03, train accuracy: 99.41%, valid loss: 0.05, valid accuracy: 98.46%, test loss: 0.06, test accuracy: 98.16%
Epochs 038, train loss: 0.05, train accuracy: 98.72%, valid loss: 0.05, valid accuracy: 98.77%, test loss: 0.05, test accuracy: 99.06%
Epochs 039, train loss: 0.02, train accuracy: 99.58%, valid loss: 0.05, valid accuracy: 98.62%, test loss: 0.06, test accuracy: 98.50%
Epochs 040, train loss: 0.04, train accuracy: 99.03%, valid loss: 0.08, valid accuracy: 97.48%, test loss: 0.08, test accuracy: 97.17%
Epochs 041, train loss: 0.02, train accuracy: 99.78%, valid loss: 0.10, valid accuracy: 96.33%, test loss: 0.13, test accuracy: 95.91%
Epochs 042, train loss: 0.03, train accuracy: 99.41%, valid loss: 0.04, valid accuracy: 99.00%, test loss: 0.05, test accuracy: 98.93%
Epochs 043, train loss: 0.01, train accuracy: 99.87%, valid loss: 0.05, valid accuracy: 98.74%, test loss: 0.05, test accuracy: 98.72%
Epochs 044, train loss: 0.04, train accuracy: 99.05%, valid loss: 0.06, valid accuracy: 98.02%, test loss: 0.07, test accuracy: 98.24%
Epochs 045, train loss: 0.04, train accuracy: 98.91%, valid loss: 0.04, valid accuracy: 98.91%, test loss: 0.04, test accuracy: 99.33%
Epochs 046, train loss: 0.02, train accuracy: 99.74%, valid loss: 0.06, valid accuracy: 98.26%, test loss: 0.06, test accuracy: 98.40%
Epochs 047, train loss: 0.04, train accuracy: 98.95%, valid loss: 0.04, valid accuracy: 98.89%, test loss: 0.04, test accuracy: 99.20%
Epochs 048, train loss: 0.02, train accuracy: 99.49%, valid loss: 0.05, valid accuracy: 98.74%, test loss: 0.05, test accuracy: 98.64%
Epochs 049, train loss: 0.02, train accuracy: 99.62%, valid loss: 0.04, valid accuracy: 98.76%, test loss: 0.04, test accuracy: 98.90%
Epochs 050, train loss: 0.02, train accuracy: 99.50%, valid loss: 0.07, valid accuracy: 97.81%, test loss: 0.07, test accuracy: 97.91%
