Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 000, train loss: 1.98, train accuracy: 13.07%, valid loss: 1.95, valid accuracy: 9.73%, test loss: 1.95, test accuracy: 10.59%
Epochs 001, train loss: 1.93, train accuracy: 21.05%, valid loss: 1.95, valid accuracy: 16.21%, test loss: 1.98, test accuracy: 16.71%
Epochs 002, train loss: 1.85, train accuracy: 25.09%, valid loss: 1.85, valid accuracy: 28.08%, test loss: 1.89, test accuracy: 24.22%
Epochs 003, train loss: 1.81, train accuracy: 28.51%, valid loss: 1.82, valid accuracy: 25.75%, test loss: 1.85, test accuracy: 25.08%
Epochs 004, train loss: 1.64, train accuracy: 37.54%, valid loss: 1.75, valid accuracy: 30.25%, test loss: 1.78, test accuracy: 28.50%
Epochs 005, train loss: 1.44, train accuracy: 45.26%, valid loss: 1.60, valid accuracy: 41.43%, test loss: 1.62, test accuracy: 39.71%
Epochs 006, train loss: 1.30, train accuracy: 47.72%, valid loss: 1.52, valid accuracy: 37.12%, test loss: 1.57, test accuracy: 36.74%
Epochs 007, train loss: 1.10, train accuracy: 60.18%, valid loss: 1.36, valid accuracy: 48.30%, test loss: 1.38, test accuracy: 47.43%
Epochs 008, train loss: 0.97, train accuracy: 64.65%, valid loss: 1.35, valid accuracy: 47.97%, test loss: 1.40, test accuracy: 45.00%
Epochs 009, train loss: 0.79, train accuracy: 75.79%, valid loss: 1.18, valid accuracy: 56.73%, test loss: 1.25, test accuracy: 53.85%
Epochs 010, train loss: 0.63, train accuracy: 79.91%, valid loss: 1.14, valid accuracy: 58.64%, test loss: 1.17, test accuracy: 55.72%
Epochs 011, train loss: 0.55, train accuracy: 80.61%, valid loss: 1.19, valid accuracy: 57.65%, test loss: 1.25, test accuracy: 54.14%
Epochs 012, train loss: 0.48, train accuracy: 86.67%, valid loss: 1.16, valid accuracy: 60.60%, test loss: 1.22, test accuracy: 56.20%
Epochs 013, train loss: 0.38, train accuracy: 86.40%, valid loss: 1.21, valid accuracy: 58.93%, test loss: 1.21, test accuracy: 57.41%
Epochs 014, train loss: 0.40, train accuracy: 86.67%, valid loss: 1.25, valid accuracy: 60.16%, test loss: 1.31, test accuracy: 57.62%
Epochs 015, train loss: 0.27, train accuracy: 91.49%, valid loss: 1.03, valid accuracy: 65.95%, test loss: 1.02, test accuracy: 62.91%
Epochs 016, train loss: 0.23, train accuracy: 93.68%, valid loss: 1.09, valid accuracy: 65.77%, test loss: 1.07, test accuracy: 63.90%
Epochs 017, train loss: 0.18, train accuracy: 94.56%, valid loss: 1.09, valid accuracy: 67.78%, test loss: 1.15, test accuracy: 64.60%
Epochs 018, train loss: 0.16, train accuracy: 96.23%, valid loss: 1.20, valid accuracy: 64.57%, test loss: 1.19, test accuracy: 64.30%
Epochs 019, train loss: 0.16, train accuracy: 95.35%, valid loss: 1.32, valid accuracy: 63.58%, test loss: 1.33, test accuracy: 61.07%
