Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 000, train loss: 2.77, train accuracy: 11.75%, valid loss: 2.10, valid accuracy: 14.22%, test loss: 2.09, test accuracy: 13.69%
Epochs 001, train loss: 1.58, train accuracy: 40.79%, valid loss: 1.92, valid accuracy: 27.37%, test loss: 1.94, test accuracy: 26.66%
Epochs 002, train loss: 1.29, train accuracy: 61.67%, valid loss: 1.71, valid accuracy: 34.75%, test loss: 1.72, test accuracy: 37.62%
Epochs 003, train loss: 1.13, train accuracy: 64.04%, valid loss: 1.94, valid accuracy: 33.94%, test loss: 1.97, test accuracy: 30.61%
Epochs 004, train loss: 1.03, train accuracy: 68.60%, valid loss: 1.42, valid accuracy: 51.60%, test loss: 1.42, test accuracy: 51.63%
Epochs 005, train loss: 0.88, train accuracy: 74.12%, valid loss: 1.29, valid accuracy: 58.53%, test loss: 1.33, test accuracy: 56.52%
Epochs 006, train loss: 0.83, train accuracy: 76.84%, valid loss: 1.81, valid accuracy: 40.07%, test loss: 1.76, test accuracy: 40.64%
Epochs 007, train loss: 0.68, train accuracy: 85.53%, valid loss: 1.18, valid accuracy: 65.43%, test loss: 1.21, test accuracy: 63.16%
Epochs 008, train loss: 0.61, train accuracy: 88.68%, valid loss: 1.26, valid accuracy: 60.91%, test loss: 1.24, test accuracy: 60.56%
Epochs 009, train loss: 0.56, train accuracy: 89.65%, valid loss: 1.37, valid accuracy: 56.81%, test loss: 1.38, test accuracy: 57.30%
Epochs 010, train loss: 0.49, train accuracy: 93.07%, valid loss: 1.27, valid accuracy: 65.26%, test loss: 1.27, test accuracy: 63.50%
Epochs 011, train loss: 0.45, train accuracy: 93.16%, valid loss: 1.29, valid accuracy: 64.06%, test loss: 1.25, test accuracy: 63.13%
Epochs 012, train loss: 0.44, train accuracy: 92.72%, valid loss: 1.25, valid accuracy: 65.93%, test loss: 1.28, test accuracy: 63.21%
Epochs 013, train loss: 0.35, train accuracy: 98.42%, valid loss: 1.23, valid accuracy: 67.40%, test loss: 1.22, test accuracy: 63.26%
Epochs 014, train loss: 0.33, train accuracy: 97.19%, valid loss: 1.17, valid accuracy: 69.21%, test loss: 1.16, test accuracy: 67.25%
Epochs 015, train loss: 0.38, train accuracy: 94.39%, valid loss: 1.22, valid accuracy: 70.27%, test loss: 1.17, test accuracy: 67.17%
